VEHICLE TYPE,STATE,MONTH,YEAR,MAKE,MODEL,VARIANT,IDV_VALUE
Two Wheeler,Andaman & Nicobar Is,March,2021,22KYMCO,IFLOW,STANDARD,85500*
Two Wheeler,Andaman & Nicobar Is,March,2021,22MOTORS,FLOW,STANDARD,71003*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,FEISTY,STANDARD,57200*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,INSPIRER,60V 25AH,68399*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,INSPIRER,60V 34AH,74099*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,INSPIRER,STANDARD,45599*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,JAUNTY,60V 25AH,68399*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,JAUNTY,60V 34AH,74099*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,JAUNTY,STANDARD,54719*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,JAUNTY 3W,STANDARD,71724*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMO MOBILITY,S-PIN,STANDARD,41426*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,MAGNUS,LEAD ACID BATTERY,47499*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,MAGNUS,PRO - LI BATTERY,70291*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO,LEAD ACID BATTERY,39519*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO,LI,51869*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO,PLUS LEAD ACID BATTERY,40366*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO,PLUS LI,53381*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO ELITE,LEAD ACID BATTERY,40849*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,REO ELITE,LI BATTERY,56991*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,V48,LEAD ACID BATTERY,34104*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,V48,LI,49589*
Two Wheeler,Andaman & Nicobar Is,March,2021,AMPERE,ZEAL,LI,66119*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR 160,CARBON BS VI,102192*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR 160,FACELIFT BS VI,99252*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR 160,RACE BS VI,107987*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR125,BS VI FI,90287*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SR125,FACELIFT,90390*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,STORM 125,BS VI FI,82625*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,STORM 125,DISC,87971*
Two Wheeler,Andaman & Nicobar Is,March,2021,APRILIA,SXR 160,STANDARD,119697*
Two Wheeler,Andaman & Nicobar Is,March,2021,ATHER,450,STANDARD,104572*
Two Wheeler,Andaman & Nicobar Is,March,2021,ATHER,450,X PLUS,135295*
Two Wheeler,Andaman & Nicobar Is,March,2021,ATHER,450,X PRO,153355*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E STAR,STD,57000*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-LITE,STD,26600*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-MATE,STD,42750*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-PLUS,STD,23750*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-SCOOT,STD,42750*
Two Wheeler,Andaman & Nicobar Is,March,2021,AVON,E-ZAP,STD,38000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,AVENGER 220 CRUISE,BS VI,118402*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,AVENGER STREET 160,BS VI,97462*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CHETAK,PREMIUM,114000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CHETAK,URBANE,109250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT 100,ES ALLOY BS VI,49212*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT 100,KS ALLOY BS VI,42646*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT 100,KS ALLOY BS VI FACELIFT,44949*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT110,ES ALLOY BS VI,51431*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,CT110,KS ALLOY BS VI,44092*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,DOMINAR 250,STANDARD,159332*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,DOMINAR 400,STANDARD BS VI,189767*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA,ES ALLOY BS VI FACELIFT,51224*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA,ES DISC,60399*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA,KS ALLOY BS VI FACELIFT,50269*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA 110 H-GEAR,ABS,62630*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PLATINA 110 H-GEAR,DISC BS VI,61086*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 125,DISC BS VI,74049*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 125,DRUM BS VI,68035*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 125,SPLIT SEAT,77180*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 125,SPLIT SEAT DRUM CBS,70583*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 150,NEON ABS BS VI,89419*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 150,SINGLE DISC ABS BS VI,96028*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 150,TWIN DISC ABS BS VI,99732*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 180,STANDARD,99530*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 180F,NEON ABS BS VI,108789*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR 220F,BS VI,118986*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR NS160,TWIN DISC ABS BS VI,104582*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR NS200,BS VI,126561*
Two Wheeler,Andaman & Nicobar Is,March,2021,BAJAJ,PULSAR RS200,BS VI,144570*
Two Wheeler,Andaman & Nicobar Is,March,2021,BATTRE,GPS IE,STANDARD,61741*
Two Wheeler,Andaman & Nicobar Is,March,2021,BATTRE,IOT,STANDARD,75999*
Two Wheeler,Andaman & Nicobar Is,March,2021,BATTRE,LO EV,STANDARD,56905*
Two Wheeler,Andaman & Nicobar Is,March,2021,BATTRE,ONE,STANDARD,70300*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENELLI,IMPERIALE 400,STANDARD,179550*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENELLI,LEONCINO,STANDARD,436050*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENELLI,TRK 502,STANDARD,455905*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENELLI,TRK 502X,STANDARD,493905*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,AURA,STANDARD,88540*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,FALCON,LEAD ACID,45743*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,FALCON,STANDARD,57385*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,ICON,LEAD ACID,48412*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,ICON,STANDARD,60051*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,KRITI,LEAD ACID,41111*
Two Wheeler,Andaman & Nicobar Is,March,2021,BENLING,KRITI,STANDARD,53562*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,A2,LEAD-ACID,49874*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,A2,LITHIUM-ION,64600*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,B8,LEAD-ACID,59850*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,B8,LI,84550*
Two Wheeler,Andaman & Nicobar Is,March,2021,BGAUSS,B8,LITHIUM-ION,78850*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,F900 R,STANDARD,1026000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,F900 XR,PRO,1178000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,F900 XR,STANDARD,1040250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,G 310 R,STANDARD,237500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,G310GS,STANDARD,275500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,M 1000 RR,COMPETITION,4275000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,M 1000 RR,STANDARD,3990000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R 1250 GS,PRO,1942750*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R 1250 GS ADVENTURE,PRO,2123250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R 1250 R,STANDARD,1543750*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R NINE T SCRAMBLER,STANDARD,1591250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R NINET,STANDARD,1757500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R18,CLASSIC,2280000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R18,FIRST EDITION,2142250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,R18,STANDARD,1890500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,S 1000 XR,PRO,2023500*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,S1000 RR,PRO,2033000*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,S1000 RR,PRO M SPORT,2256250*
Two Wheeler,Andaman & Nicobar Is,March,2021,BMW,S1000 RR,STANDARD,1852500*
Two Wheeler,Andaman & Nicobar Is,March,2021,CARBERRY,DOUBLE BARREL,1000CC,698250*
Two Wheeler,Andaman & Nicobar Is,March,2021,CF MOTO,300NK,STANDARD,217550*
Two Wheeler,Andaman & Nicobar Is,March,2021,CF MOTO,650GT,STANDARD,521550*
Two Wheeler,Andaman & Nicobar Is,March,2021,CF MOTO,650MT,STANDARD,474050*
Two Wheeler,Andaman & Nicobar Is,March,2021,CF MOTO,650NK,STANDARD,379050*
Two Wheeler,Andaman & Nicobar Is,March,2021,CRAYON,ENVY,LITHIUM-ION,61750*
Two Wheeler,Andaman & Nicobar Is,March,2021,CRAYON,ENVY,VRLA,50350*
Two Wheeler,Andaman & Nicobar Is,March,2021,CRAYON,ZEEZ,LITHIUM-ION,55100*
Two Wheeler,Andaman & Nicobar Is,March,2021,CRAYON,ZEEZ,VRLA,45600*
Two Wheeler,Andaman & Nicobar Is,March,2021,DELTIC,DRIXX,STANDARD,44641*
Two Wheeler,Andaman & Nicobar Is,March,2021,DELTIC,EZ,STANDARD,38000*
Two Wheeler,Andaman & Nicobar Is,March,2021,DETEL EV,EASY,STANDARD,18999*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,MULTISTRADA 950,S,1471550*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,PANIGALE V2,STANDARD,1661550*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,SCRAMBLER 1100,DARK PRO,1044050*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,SCRAMBLER 1100,PRO,1135250*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,SCRAMBLER 1100,PRO SPORT,1305300*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,SCRAMBLER DESERT SLED,STANDARD,1034550*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,SCRAMBLER ICON,DARK,759050*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,SCRAMBLER ICON,NIGHT SHIFT,893000*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,SCRAMBLER ICON,STANDARD,806550*
Two Wheeler,Andaman & Nicobar Is,March,2021,DUCATI,SCRAMBLER NIGHTSHIFT,STANDARD,931000*
Two Wheeler,Andaman & Nicobar Is,March,2021,EEVE,4U,STANDARD,66985*
Two Wheeler,Andaman & Nicobar Is,March,2021,EEVE,AHAVA,STANDARD,53105*
Two Wheeler,Andaman & Nicobar Is,March,2021,EEVE,ATREO,STANDARD,61655*
Two Wheeler,Andaman & Nicobar Is,March,2021,EEVE,WIND,STANDARD,52165*
Two Wheeler,Andaman & Nicobar Is,March,2021,EEVE,XENIAA,STANDARD,70217*
Two Wheeler,Andaman & Nicobar Is,March,2021,EEVE,YOUR,STANDARD,49312*
Two Wheeler,Andaman & Nicobar Is,March,2021,EIDER,DAVE,150CC,128108*
Two Wheeler,Andaman & Nicobar Is,March,2021,EIDER,DRONZER,150CC,73150*
Two Wheeler,Andaman & Nicobar Is,March,2021,EIDER,ETANIA,150CC,64125*
Two Wheeler,Andaman & Nicobar Is,March,2021,EIDER,LEORA,125CC,47025*
Two Wheeler,Andaman & Nicobar Is,March,2021,EIDER,POLICE,650CC,380000*
Two Wheeler,Andaman & Nicobar Is,March,2021,EIDER,RUDDY,150CC,51490*
Two Wheeler,Andaman & Nicobar Is,March,2021,EIDER,STOIC,110CC,46550*
Two Wheeler,Andaman & Nicobar Is,March,2021,GEMOPAI,ASTRID LITE,STD,75991*
Two Wheeler,Andaman & Nicobar Is,March,2021,GEMOPAI,MISO,STANDARD,41800*
Two Wheeler,Andaman & Nicobar Is,March,2021,GEMOPAI,RYDER,STD,57000*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,1200 CUSTOM,STANDARD,1034550*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,FAT BOY,STANDARD,1733750*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,FORTY EIGHT,STANDARD,1007950*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,FORTY EIGHT SPECIAL,STANDARD,1043100*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,IRON 883,STANDARD,891100*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,LOW RIDER,STANDARD,1306250*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,LOW RIDER S,STANDARD,1395550*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,STREET 750,STANDARD,445550*
Two Wheeler,Andaman & Nicobar Is,March,2021,HARLEY-DAVIDSON,STREET ROD,STANDARD,569050*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,DESTINI 125,100 MILLION EDITION,71440*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,DESTINI 125,LX BS VI,66310*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,DESTINI 125,PLATINUM,68448*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,DESTINI 125,VX BS VI,69730*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,GLAMOUR,BLAZE EDITION - DISC - BS VI,75525*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,GLAMOUR,BLAZE EDITION - DRUM - BS VI,72200*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,GLAMOUR,DISC 100 MILLION EDITION,76095*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,GLAMOUR,DISC BS VI,74385*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,GLAMOUR,DRUM 100 MILLION EDITION,72770*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,GLAMOUR,DRUM BS VI,71060*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,HF DELUXE,KICK ALLOY BS VI,48878*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,HF DELUXE,KICK SPOKE BS VI,47928*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,HF DELUXE,SELF ALLOY BS VI,56905*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,HF DELUXE I3S,SELF START BS VI,58069*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,MAESTRO EDGE 110,100 MILLION EDITION,65123*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,MAESTRO EDGE 110,ALLOY WHEEL,63413*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,MAESTRO EDGE 110,DRUM BRAKE ALLOY WHEEL VX,62083*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,MAESTRO EDGE 125,ALLOY WHEEL DISC BS VI,70870*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,MAESTRO EDGE 125,ALLOY WHEEL DRUM BS VI,68780*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,MAESTRO EDGE 125,PRISMATIC COLOR TECH BS VI,68353*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,MAESTRO EDGE 125,STEALTH EDITION BS VI,72295*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,PASSION PRO 110,DISC 100 MILLION EDITION,68210*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,PASSION PRO 110,DISC BS VI,66500*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,PASSION PRO 110,DRUM 100 MILLION EDITION,66120*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,PASSION PRO 110,DRUM BS VI,64410*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,PLEASURE PLUS 110,CAST WHEEL BS VI,56620*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,PLEASURE PLUS 110,PLATINUM,58995*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,PLEASURE PLUS 110,SHEET METAL WHEEL BS VI,54388*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SPLENDOR ISMART 110,DISC FI BS VI,65978*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SPLENDOR ISMART 110,FI BS VI,63888*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SPLENDOR PLUS,BLACK AND ACCENT EDITION,62068*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SPLENDOR PLUS,DRUM 100 MILLION EDITION,63778*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SPLENDOR PLUS,KICK ALLOY BS VI,58753*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SPLENDOR PLUS,SELF ALLOY BS VI,60966*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SPLENDOR PLUS,SELF ALLOY I3S BS VI,62068*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SUPER SPLENDOR,SELF-DISC ALLOY BS VI,72580*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,SUPER SPLENDOR,SELF-DRUM ALLOY BS VI,69255*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,XPULSE 200,STANDARD,109469*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,XPULSE 200T,STANDARD,107160*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,XTREME 160R,100 MILLION EDITION,104690*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,XTREME 160R,DUAL DISC,102980*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,XTREME 160R,FRONT DISC,100130*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO,XTREME 200S,STANDARD,112301*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,DASH,STANDARD,58900*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,FLASH,LEAD ACID,35224*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,FLASH,LITHIUM-ION,43691*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,NYX,E2,57000*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,NYX,E5,61409*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,NYX,ER,66266*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,NYX,HX,61408*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,OPTIMA,E5,58773*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,OPTIMA,ER,65285*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,OPTIMA,LEAD ACID,39682*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,OPTIMA,LITHIUM-ION,51567*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,PHOTON,48V,62191*
Two Wheeler,Andaman & Nicobar Is,March,2021,HERO ELECTRIC,PHOTON,72V,58775*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,ACTIVA 125 FI,ALLOY BS VI,78057*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,ACTIVA 125 FI,DELUXE BS VI,81387*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,ACTIVA 125 FI,STANDARD BS VI,74572*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,ACTIVA 6G,20TH YEAR ANNIVERSARY DELUXE,73247*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,ACTIVA 6G,20TH YEAR ANNIVERSARY STANDARD,71589*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,ACTIVA 6G,DELUXE,71822*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,ACTIVA 6G,STANDARD,70164*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,AFRICA TWIN,ADVENTURE SPORTS - DCT,1662975*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,AFRICA TWIN,ADVENTURE SPORTS - MANUAL,1516675*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,CB SHINE,DISC BS VI,78264*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,CB SHINE,DRUM BS VI,73709*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,CB350RS,DUAL TONE,188100*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,CB350RS,STANDARD,186200*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,CB500X,STANDARD,653017*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,CD 110 DREAM,DELUXE,67999*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,CD 110 DREAM,STANDARD,67049*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,DIO,DELUXE BS VI,71438*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,DIO,REPSOL EDITION,73813*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,DIO,STANDARD BS VI,68210*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,GRAZIA,DELUXE,84730*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,GRAZIA,SPORTS EDITION - DISC,85680*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,GRAZIA,STANDARD,77771*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,HIGHNESS CB 350,DLX,177175*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,HIGHNESS CB 350,DLX PRO,182875*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,HORNET 2.0,REPSOL EDITION,130426*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,HORNET 2.0,STANDARD,128526*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,LIVO,DISC BS VI,76884*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,LIVO,DRUM BS VI,72894*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,SP125,DISC,82626*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,SP125,DRUM,78546*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,UNICORN,STANDARD BS VI,97691*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,X-BLADE,DUAL DISC,113370*
Two Wheeler,Andaman & Nicobar Is,March,2021,HONDA,X-BLADE,SINGLE DISC,109199*
Two Wheeler,Andaman & Nicobar Is,March,2021,HUSQVARNA,SVARTPILEN 250,STANDARD,180090*
Two Wheeler,Andaman & Nicobar Is,March,2021,HUSQVARNA,VITPILEN 250,STANDARD,180454*
Two Wheeler,Andaman & Nicobar Is,March,2021,JAWA,300,DUAL CHANNEL ABS BS VI,176862*
Two Wheeler,Andaman & Nicobar Is,March,2021,JAWA,300,SINGLE CHANNEL ABS BS VI,168367*
Two Wheeler,Andaman & Nicobar Is,March,2021,JAWA,FORTY TWO,DUAL CHANNEL ABS BS VI,168312*
Two Wheeler,Andaman & Nicobar Is,March,2021,JAWA,FORTY TWO,SINGLE CHANNEL ABS BS VI,159817*
Two Wheeler,Andaman & Nicobar Is,March,2021,JAWA,FORTY TWO,VERSION 2.1,174745*
Two Wheeler,Andaman & Nicobar Is,March,2021,JAWA,PERAK,STANDARD,184775*
Two Wheeler,Andaman & Nicobar Is,March,2021,JOY EBIKE,E MONSTER,STANDARD,94905*
Two Wheeler,Andaman & Nicobar Is,March,2021,JOY EBIKE,GEN NXT NANU,STANDARD,39900*
Two Wheeler,Andaman & Nicobar Is,March,2021,JOY EBIKE,GLOB,STANDARD,66263*
Two Wheeler,Andaman & Nicobar Is,March,2021,JOY EBIKE,HONEYBEE,STANDARD,40090*
Two Wheeler,Andaman & Nicobar Is,March,2021,JOY EBIKE,MONSTER,STANDARD,94049*
Two Wheeler,Andaman & Nicobar Is,March,2021,JOY EBIKE,NANU,BUTTERFLY,31825*
Two Wheeler,Andaman & Nicobar Is,March,2021,JOY EBIKE,NANU,HONEYBEE,33250*
Two Wheeler,Andaman & Nicobar Is,March,2021,JOY EBIKE,WOLF,STANDARD,68875*
Two Wheeler,Andaman & Nicobar Is,March,2021,KABIRA MOBILITY,AETOS 100,LITHIUM-ION,52250*
Two Wheeler,Andaman & Nicobar Is,March,2021,KABIRA MOBILITY,INTERCITY AEOLUS,LITHIUM-ION,65541*
Two Wheeler,Andaman & Nicobar Is,March,2021,KABIRA MOBILITY,INTERCITY NEO,LITHIUM-ION,54150*
Two Wheeler,Andaman & Nicobar Is,March,2021,KABIRA MOBILITY,KM 3000,LITHIUM-ION,120641*
Two Wheeler,Andaman & Nicobar Is,March,2021,KABIRA MOBILITY,KM 4000,STANDARD,130141*
Two Wheeler,Andaman & Nicobar Is,March,2021,KABIRA MOBILITY,KOLLEGIO,LITHIUM-ION,43691*
Two Wheeler,Andaman & Nicobar Is,March,2021,KABIRA MOBILITY,KOLLEGIO NEO,LITHIUM-ION,44650*
Two Wheeler,Andaman & Nicobar Is,March,2021,KABIRA MOBILITY,KOLLEGIO PLUS,LITHIUM-ION,45600*
